iter	MultiClass
0	1.252071128
1	1.143889046
2	1.059518343
3	0.9800611953
4	0.9162457176
5	0.8702868379
6	0.8323321357
7	0.7914912264
8	0.7558142175
9	0.7262006485
10	0.7000425312
11	0.6749531613
12	0.6520931068
13	0.631805303
14	0.6126184447
15	0.597522614
16	0.5834620185
17	0.5693526166
18	0.5567540101
19	0.5452093527
20	0.5349211633
21	0.5256906619
22	0.5165075779
23	0.5076230547
24	0.4996691614
25	0.4940791752
26	0.4885968864
27	0.4825583465
28	0.4774618457
29	0.4725782723
30	0.4673021969
31	0.4630385366
32	0.4582319719
33	0.4534920647
34	0.4484713578
35	0.4445200052
36	0.4411570696
37	0.438081556
38	0.4352898765
39	0.4316201766
40	0.427576988
41	0.4250041493
42	0.4216043235
43	0.4192696902
44	0.4172078879
45	0.4152131185
46	0.413027996
47	0.4107342199
48	0.4085162059
49	0.4058305745
50	0.4027785174
51	0.4004116532
52	0.3988444711
53	0.3966332031
54	0.3951880073
55	0.3932582615
56	0.3911290508
57	0.3890369137
58	0.3871108775
59	0.3847909424
60	0.3822709139
61	0.3808656022
62	0.3791322573
63	0.3776369422
64	0.3761093361
65	0.3748627674
66	0.3729807508
67	0.3722025587
68	0.3707937685
69	0.3690017529
70	0.3674281456
71	0.3663984218
72	0.3653529132
73	0.363535162
74	0.3617086501
75	0.3595655398
76	0.358452802
77	0.356924074
78	0.355618425
79	0.354820307
80	0.3532333574
81	0.3522422088
82	0.3506428018
83	0.3481711051
84	0.3471313523
85	0.346303854
86	0.3450763335
87	0.3433249427
88	0.34243706
89	0.3413536998
90	0.3410259254
91	0.340514044
92	0.338957038
93	0.3373427622
94	0.3356313283
95	0.3349528027
96	0.3335107409
97	0.3324671542
98	0.3315303299
99	0.3302748256
100	0.3286413052
101	0.3278260747
102	0.3266609093
103	0.3250013212
104	0.323781069
105	0.3221714767
106	0.3210744399
107	0.3201520809
108	0.3192736052
109	0.3185259575
110	0.3173332065
111	0.3166500367
112	0.3157761039
113	0.3149775952
114	0.3134335911
115	0.312825231
116	0.3115238993
117	0.3105091717
118	0.3100113914
119	0.3085248831
120	0.307845087
121	0.3068606408
122	0.3060500291
123	0.304938454
124	0.3038294232
125	0.3033960156
126	0.3031961318
127	0.3021560237
128	0.3015159155
129	0.3003722792
130	0.2998734311
131	0.2987645849
132	0.2981386696
133	0.2973398622
134	0.2964410189
135	0.2960256384
136	0.2950118974
137	0.2944762968
138	0.2935015508
139	0.2933308984
140	0.2922558717
141	0.2911316912
142	0.2904010874
143	0.2895930144
144	0.2891338534
145	0.2878578817
146	0.2870738544
147	0.2860226608
148	0.2851463748
149	0.2846013236
150	0.2841702141
151	0.2832646278
152	0.2823656922
153	0.2812427244
154	0.2804129332
155	0.279801549
156	0.2793394537
157	0.278437009
158	0.2781319134
159	0.2773831814
160	0.2769766178
161	0.2763494291
162	0.2755638206
163	0.2748807873
164	0.273819699
165	0.2727086829
166	0.2719199696
167	0.2712790401
168	0.2698984963
169	0.2691312372
170	0.2685972009
171	0.2675760488
172	0.2670786718
173	0.2659640179
174	0.2656769854
175	0.2652999756
176	0.2641951472
177	0.2637865961
178	0.2633356506
179	0.2628546935
180	0.2623020898
181	0.2617576687
182	0.2604065175
183	0.2594120769
184	0.2587681858
185	0.2576004546
186	0.2569515845
187	0.2561801983
188	0.2551976883
189	0.2545164402
190	0.25441154
191	0.253836687
192	0.2532279418
193	0.2524575158
194	0.2519116959
195	0.2516503996
196	0.2511001897
197	0.2508141529
198	0.2502411033
199	0.2494481228
200	0.2489616408
201	0.2482763242
202	0.2476201952
203	0.2472014379
204	0.2463451833
205	0.2457539365
206	0.2450482361
207	0.2441874036
208	0.243688579
209	0.2429997672
210	0.2419625139
211	0.2416827195
212	0.24075304
213	0.2399160334
214	0.2391525005
215	0.2388357598
216	0.237915967
217	0.2372831062
218	0.236931927
219	0.2360296856
220	0.2356843049
221	0.2348909856
222	0.2342737415
223	0.2336157963
224	0.2332997536
225	0.2329123616
226	0.2322348914
227	0.2315182536
228	0.2309252224
229	0.2307772192
230	0.2303520838
231	0.2295611389
232	0.2292060147
233	0.2287152075
234	0.2282194552
235	0.2278249105
236	0.2270841819
237	0.2262075661
238	0.2252903724
239	0.2246841718
240	0.2243371724
241	0.2231785839
242	0.2227826593
243	0.222527711
244	0.2218607156
245	0.2213113812
246	0.2207283022
247	0.2200028619
248	0.2191668978
249	0.2183634779
250	0.218088147
251	0.2170263789
252	0.2163092583
253	0.2158331929
