iter	Passed	Remaining
0	133	133325
1	136	67884
2	138	46113
3	140	35055
4	144	28774
5	147	24433
6	150	21379
7	155	19259
8	158	17499
9	162	16097
10	169	15219
11	176	14536
12	180	13670
13	183	12921
14	185	12186
15	189	11673
16	193	11181
17	197	10755
18	202	10438
19	206	10100
20	212	9924
21	217	9671
22	220	9363
23	222	9035
24	228	8895
25	231	8677
26	234	8446
27	237	8251
28	241	8083
29	243	7889
30	246	7708
31	252	7632
32	255	7496
33	258	7340
34	261	7199
35	265	7101
36	267	6969
37	270	6849
38	278	6850
39	281	6760
40	284	6651
41	289	6611
42	292	6515
43	295	6419
44	301	6390
45	304	6316
46	307	6233
47	310	6150
48	313	6092
49	316	6020
50	319	5946
51	326	5949
52	329	5880
53	331	5811
54	336	5787
55	340	5734
56	342	5672
57	345	5615
58	351	5606
59	354	5549
60	358	5519
61	363	5499
62	367	5461
63	372	5451
64	377	5430
65	381	5393
66	388	5407
67	391	5369
68	395	5331
69	400	5326
70	404	5289
71	409	5278
72	414	5259
73	417	5220
74	420	5190
75	425	5171
76	428	5133
77	430	5093
78	438	5110
79	441	5072
80	444	5047
81	450	5046
82	453	5010
83	458	5004
84	462	4974
85	464	4939
86	467	4903
87	471	4882
88	473	4848
89	476	4816
90	481	4808
91	484	4784
92	487	4756
93	490	4725
94	494	4709
95	497	4683
96	500	4655
97	505	4649
98	507	4622
99	510	4593
100	517	4606
101	521	4589
102	524	4565
103	528	4556
104	531	4532
105	534	4509
106	538	4490
107	542	4480
108	545	4456
109	548	4437
110	553	4433
111	556	4409
112	559	4390
113	562	4367
114	565	4353
115	568	4333
116	571	4312
117	576	4308
118	579	4287
119	581	4266
120	584	4246
121	588	4233
122	591	4213
123	593	4194
124	599	4193
125	601	4175
126	604	4155
127	607	4136
128	611	4128
129	614	4110
130	616	4091
131	621	4088
132	625	4079
133	629	4067
134	635	4069
135	637	4052
136	640	4035
137	643	4018
138	647	4010
139	650	3993
140	652	3977
141	659	3981
142	661	3965
143	664	3949
144	667	3934
145	671	3926
146	673	3910
147	676	3896
148	683	3902
149	685	3886
150	688	3871
151	693	3869
152	697	3861
153	701	3852
154	710	3871
155	713	3860
156	720	3869
157	723	3858
158	727	3849
159	735	3859
160	740	3859
161	748	3872
162	753	3866
163	756	3856
164	760	3849
165	763	3837
166	768	3835
167	772	3824
168	775	3811
169	778	3798
170	783	3799
171	786	3788
172	789	3775
173	794	3771
174	797	3759
175	800	3747
176	803	3735
177	807	3729
178	810	3718
179	813	3705
180	818	3701
181	821	3691
182	824	3679
183	826	3666
184	831	3664
185	834	3651
186	837	3640
187	842	3639
188	845	3627
189	848	3617
190	851	3605
191	854	3597
192	857	3585
193	860	3573
194	865	3572
195	868	3563
196	871	3551
197	875	3547
198	879	3540
199	882	3529
200	885	3519
201	892	3526
202	895	3515
203	897	3503
204	903	3505
205	906	3495
206	909	3484
207	914	3483
208	917	3474
209	920	3463
210	923	3454
211	927	3448
212	930	3437
213	933	3427
214	938	3425
215	940	3415
216	943	3405
217	947	3397
218	950	3391
219	953	3381
220	956	3372
221	961	3371
222	964	3361
223	968	3355
224	974	3356
225	977	3346
226	980	3338
227	984	3334
228	988	3327
229	991	3320
230	999	3326
231	1002	3318
232	1005	3309
233	1007	3299
234	1011	3293
235	1014	3285
236	1017	3275
237	1023	3277
238	1027	3271
239	1031	3265
240	1037	3267
241	1041	3262
242	1044	3254
243	1049	3253
244	1053	3246
245	1057	3240
246	1062	3237
247	1065	3231
248	1074	3240
249	1077	3233
250	1085	3237
251	1088	3230
252	1091	3224
253	1098	3226
254	1103	3223
255	1108	3222
256	1112	3216
257	1117	3214
258	1123	3214
259	1127	3208
260	1132	3206
261	1136	3201
262	1140	3196
263	1144	3190
264	1148	3185
265	1153	3183
266	1157	3178
267	1161	3172
268	1166	3170
269	1171	3166
270	1174	3159
271	1179	3157
272	1183	3152
273	1187	3147
274	1194	3150
275	1198	3144
276	1202	3137
277	1207	3135
278	1210	3126
279	1212	3118
280	1218	3118
281	1222	3112
282	1229	3114
283	1237	3121
284	1244	3121
285	1247	3114
286	1252	3112
287	1256	3107
288	1260	3100
289	1265	3097
290	1269	3092
291	1274	3090
292	1278	3084
293	1282	3079
294	1287	3076
295	1290	3069
296	1294	3063
297	1298	3058
298	1301	3052
299	1308	3054
300	1313	3049
301	1316	3043
302	1322	3042
303	1326	3036
304	1330	3030
305	1336	3032
306	1340	3025
307	1344	3020
308	1347	3014
309	1351	3008
310	1354	3000
311	1359	2997
312	1363	2993
313	1369	2991
314	1373	2987
315	1377	2980
316	1383	2980
317	1387	2974
318	1390	2967
319	1395	2966
320	1399	2959
321	1402	2953
322	1409	2954
323	1413	2948
324	1416	2941
325	1421	2939
326	1425	2933
327	1432	2935
328	1437	2932
329	1446	2937
330	1450	2931
331	1458	2935
332	1463	2931
333	1469	2929
334	1473	2925
335	1477	2920
336	1485	2922
337	1488	2914
338	1491	2909
339	1496	2904
340	1500	2899
341	1505	2896
342	1509	2891
343	1513	2886
344	1520	2886
345	1524	2881
346	1527	2875
347	1535	2876
348	1538	2870
349	1544	2867
350	1547	2862
351	1551	2855
352	1557	2855
353	1562	2851
354	1565	2844
355	1571	2843
356	1574	2836
357	1578	2830
358	1583	2827
359	1586	2820
360	1591	2817
361	1595	2811
362	1599	2806
363	1606	2807
364	1610	2801
365	1613	2795
366	1619	2793
367	1623	2787
368	1629	2787
369	1634	2783
370	1638	2778
371	1643	2774
372	1647	2769
373	1653	2767
374	1662	2771
375	1682	2792
376	1687	2789
377	1697	2793
378	1707	2798
379	1715	2798
380	1722	2798
381	1729	2798
382	1736	2797
383	1744	2797
384	1751	2797
385	1757	2795
386	1761	2790
387	1766	2786
388	1770	2780
389	1773	2774
390	1778	2770
391	1782	2764
392	1792	2767
393	1796	2763
394	1805	2765
395	1809	2759
396	1813	2754
397	1818	2750
398	1822	2744
399	1827	2741
400	1831	2736
401	1835	2730
402	1871	2772
403	1887	2785
404	1890	2777
405	1894	2772
406	1900	2768
407	1904	2762
408	1909	2759
409	1913	2753
410	1916	2746
411	1922	2743
412	1925	2737
413	1929	2731
414	1935	2728
415	1939	2722
416	1943	2716
417	1949	2714
418	1953	2708
419	1957	2703
420	1963	2700
421	1968	2695
422	1974	2693
423	1977	2687
424	1981	2680
425	1986	2676
426	1990	2670
427	1999	2671
428	2002	2665
429	2006	2660
430	2013	2657
431	2016	2651
432	2025	2651
433	2029	2646
434	2036	2644
435	2039	2638
436	2043	2632
437	2049	2630
438	2053	2623
439	2057	2618
440	2061	2613
441	2065	2607
442	2069	2601
443	2075	2598
444	2078	2592
445	2084	2588
446	2087	2583
447	2096	2583
448	2102	2580
449	2109	2578
450	2113	2572
451	2116	2566
452	2123	2564
453	2127	2558
454	2131	2552
455	2135	2547
456	2139	2541
457	2142	2535
458	2149	2533
459	2152	2527
460	2156	2521
461	2160	2515
462	2163	2509
463	2169	2506
464	2180	2508
465	2188	2508
466	2198	2509
467	2204	2505
468	2225	2519
469	2257	2545
470	2289	2571
471	2293	2565
472	2297	2559
473	2304	2557
474	2308	2551
475	2312	2545
476	2320	2543
477	2323	2537
478	2330	2534
479	2334	2528
480	2338	2522
481	2345	2520
482	2348	2513
483	2352	2507
484	2356	2502
485	2359	2495
486	2364	2490
487	2370	2486
488	2374	2481
489	2378	2476
490	2382	2470
491	2386	2464
492	2390	2457
493	2395	2453
494	2399	2447
495	2404	2443
496	2408	2437
497	2411	2430
498	2416	2426
499	2422	2422
500	2426	2416
501	2432	2412
502	2435	2406
503	2443	2404
504	2448	2399
505	2453	2395
506	2459	2391
507	2463	2385
508	2471	2384
509	2475	2378
510	2480	2374
511	2484	2368
512	2488	2362
513	2495	2359
514	2499	2353
515	2503	2347
516	2507	2343
517	2511	2337
518	2516	2332
519	2521	2327
520	2524	2320
521	2529	2315
522	2533	2310
523	2536	2304
524	2541	2299
525	2545	2293
526	2549	2288
527	2555	2284
528	2558	2278
529	2562	2272
530	2571	2270
531	2575	2265
532	2582	2262
533	2586	2257
534	2595	2255
535	2600	2251
536	2608	2249
537	2614	2245
538	2617	2239
539	2622	2234
540	2626	2228
541	2632	2224
542	2636	2218
543	2638	2211
544	2644	2207
545	2648	2201
546	2651	2195
547	2658	2192
548	2661	2186
549	2665	2180
550	2672	2177
551	2676	2172
552	2683	2169
553	2686	2163
554	2690	2157
555	2696	2153
556	2700	2147
557	2703	2141
558	2711	2138
559	2715	2133
560	2722	2130
561	2726	2124
562	2729	2118
563	2734	2113
564	2737	2107
565	2741	2101
566	2745	2096
567	2749	2090
568	2754	2086
569	2759	2081
570	2763	2075
571	2768	2071
572	2773	2066
573	2776	2060
574	2782	2056
575	2785	2050
576	2789	2044
577	2796	2041
578	2800	2036
579	2804	2030
580	2809	2026
581	2812	2020
582	2816	2014
583	2820	2009
584	2824	2003
585	2827	1997
586	2832	1993
587	2836	1987
588	2840	1981
589	2845	1977
590	2848	1971
591	2854	1967
592	2857	1961
593	2861	1955
594	2869	1953
595	2873	1947
596	2878	1943
597	2881	1936
598	2885	1931
599	2892	1928
600	2895	1922
601	2899	1916
602	2905	1912
603	2909	1907
604	2912	1901
605	2917	1897
606	2922	1892
607	2928	1887
608	2931	1882
609	2938	1879
610	2943	1874
611	2947	1868
612	2952	1863
613	2955	1857
614	2958	1852
615	2965	1848
616	2968	1842
617	2972	1837
618	2976	1832
619	2980	1826
620	2984	1821
621	2989	1816
622	2992	1811
623	2996	1805
624	2999	1799
625	3002	1793
626	3008	1789
627	3011	1784
628	3014	1778
629	3017	1772
630	3021	1766
631	3023	1760
632	3026	1754
633	3028	1748
634	3033	1743
635	3036	1737
636	3039	1731
637	3042	1726
638	3046	1720
639	3049	1715
640	3053	1709
641	3057	1704
642	3060	1699
643	3063	1693
644	3067	1688
645	3069	1682
646	3072	1676
647	3077	1671
648	3080	1665
649	3082	1659
650	3084	1653
651	3089	1648
652	3091	1642
653	3094	1637
654	3096	1631
655	3101	1626
656	3103	1620
657	3106	1614
658	3109	1608
659	3113	1603
660	3115	1597
661	3117	1591
662	3122	1587
663	3127	1582
664	3130	1577
665	3135	1572
666	3138	1566
667	3140	1561
668	3143	1555
669	3149	1551
670	3151	1545
671	3153	1539
672	3156	1533
673	3160	1528
674	3163	1523
675	3165	1517
676	3169	1511
677	3173	1507
678	3175	1501
679	3177	1495
680	3181	1490
681	3184	1484
682	3187	1479
683	3190	1473
684	3195	1469
685	3198	1464
686	3201	1458
687	3205	1453
688	3208	1448
689	3211	1442
690	3214	1437
691	3217	1432
692	3221	1427
693	3223	1421
694	3226	1415
695	3232	1412
